c1_14_10A3 B2_001_c1_14_10A3
c1_515_10A3 B2_084_c1_515_10A3
c1_515_3B1 B2_085_c1_515_3B1
c1_709_11B1 B2_086_c1_709_11B1
c1_709_13A2 B2_087_c1_709_13A2
c1_709_15A2 B2_088_c1_709_15A2
c1_709_3A1 B2_089_c1_709_3A1
c1_709_4B1 B2_090_c1_709_4B1
c1_709_5A3 B2_091_c1_709_5A3
c1_709_6A1 B2_092_c1_709_6A1
c1_724_8B2 B2_099_c1_724_8B2
c3_14_4B2 B2_100_c3_14_4B2
c3_14_8A3 B2_101_c3_14_8A3
c3_2_11B3 B2_102_c3_2_11B3
c3_2_14A2 B2_103_c3_2_14A2
c3_2_16B2 B2_105_c3_2_16B2
c3_2_2B2 B2_106_c3_2_2B2
c3_2_3A1 B2_107_c3_2_3A1
c3_2_3A3 B2_108_c3_2_3A3
c3_2_6A1 B2_109_c3_2_6A1
c3_2_6B1 B2_110_c3_2_6B1
c3_85_11B1 B2_111_c3_85_11B1
c3_85_11B2 B2_112_c3_85_11B2
c3_85_13A1 B2_113_c3_85_13A1
c3_85_2B3 B2_115_c3_85_2B3
c3_59_10B1 B2_116_c3_59_10B1
c3_59_11A2 B2_117_c3_59_11A2
c3_59_8A1 B2_118_c3_59_8A1
c3_59_9A2 B2_119_c3_59_9A2
c3_45_3A3 B2_120_c3_45_3A3
c3_45_6A3 B2_121_c3_45_6A3
c3_51_12B1 B2_123_c3_51_12B1
c3_51_14B2 B2_124_c3_51_14B2
c3_51_16B1 B2_125_c3_51_16B1
c3_51_5B2 B2_126_c3_51_5B2
c3_51_7A3 B2_127_c3_51_7A3
c3_51_8A3 B2_128_c3_51_8A3
c3_135_11B2 B2_129_c3_135_11B2
c3_335_10A2 B2_130_c3_335_10A2
c3_335_16A2 B2_131_c3_335_16A2
c3_335_5A1 B2_132_c3_335_5A1
c3_335_6B1 B2_133_c3_335_6B1
c3_335_7B2 B2_134_c3_335_7B2
c3_158_10C3 B2_135_c3_158_10C3
c3_158_12B3 B2_136_c3_158_12B3
c3_158_12C2 B2_137_c3_158_12C2
c3_158_12C3 B2_138_c3_158_12C3
c3_158_13B2 B2_139_c3_158_13B2
c3_158_2A3 B2_140_c3_158_2A3
c3_237_2A3 B2_145_c3_237_2A3
c3_237_4A3 B2_146_c3_237_4A3
c3_237_8A2 B2_147_c3_237_8A2
c3_237_8B1 B2_148_c3_237_8B1
c3_237_8B3 B2_149_c3_237_8B3
c3_137_3A3 B2_151_c3_137_3A3
c3_137_4B3 B2_152_c3_137_4B3
c3_137_8A1 B2_153_c3_137_8A1
c3_135_1A2 B2_155_c3_135_1A2
c3_135_1B1 B2_156_c3_135_1B1
c3_135_3B3 B2_157_c3_135_3B3
c3_135_4A3 B2_159_c3_135_4A3
c3_135_4B1 B2_160_c3_135_4B1
c3_135_5A1 B2_161_c3_135_5A1
c3_135_6A1 B2_162_c3_135_6A1
c3_135_6A3 B2_163_c3_135_6A3
c3_135_6B2 B2_164_c3_135_6B2
c3_135_6B3 B2_165_c3_135_6B3
c3_135_7B2 B2_166_c3_135_7B2
c3_135_7B3 B2_167_c3_135_7B3
c3_135_9B3 B2_168_c3_135_9B3
c3_438_12B1 B2_169_c3_438_12B1
c3_438_13A2 B2_170_c3_438_13A2
c3_438_15A2 B2_171_c3_438_15A2
c3_438_15B2 B2_172_c3_438_15B2
c3_438_2A3 B2_173_c3_438_2A3
c3_438_6B1 B2_174_c3_438_6B1
c3_438_8A3 B2_175_c3_438_8A3
c3_438_8B3 B2_176_c3_438_8B3
c3_438_9B1 B2_177_c3_438_9B1
c3_470_11B3 B2_179_c3_470_11B3
c3_470_12B3 B2_180_c3_470_12B3
c3_470_13B3 B2_181_c3_470_13B3
c3_470_14B3 B2_182_c3_470_14B3
c3_470_2B2 B2_183_c3_470_2B2
c3_470_5A3 B2_184_c3_470_5A3
c3_470_6A2 B2_185_c3_470_6A2
c3_470_8A2 B2_186_c3_470_8A2
c3_470_9B3 B2_187_c3_470_9B3
c3_439_10B2 B2_188_c3_439_10B2
c3_439_11A2 B2_189_c3_439_11A2
c3_439_12A2 B2_190_c3_439_12A2
c3_439_13B1 B2_191_c3_439_13B1
c3_439_14B2 B2_192_c3_439_14B2
c3_439_15A2 B2_193_c3_439_15A2
c3_439_16A3 B2_194_c3_439_16A3
c3_439_1B2 B2_195_c3_439_1B2
c3_439_5B2 B2_196_c3_439_5B2
c3_515_10A2 B2_197_c3_515_10A2
c3_515_14B3 B2_198_c3_515_14B3
c3_515_1B2 B2_199_c3_515_1B2
c3_515_1B3 B2_200_c3_515_1B3
c3_580_10A3 B2_201_c3_580_10A3
c3_580_10B2 B2_202_c3_580_10B2
c3_580_12A2 B2_203_c3_580_12A2
c3_580_13A2 B2_204_c3_580_13A2
c3_580_13A3 B2_205_c3_580_13A3
c3_580_15A1 B2_208_c3_580_15A1
c3_580_1A1 B2_210_c3_580_1A1
c3_580_2B3 B2_211_c3_580_2B3
c3_580_4A1 B2_212_c3_580_4A1
c3_580_4B1 B2_213_c3_580_4B1
c3_541_10A1 B2_215_c3_541_10A1
c3_541_14B1 B2_216_c3_541_14B1
c3_541_1A2 B2_217_c3_541_1A2
c3_541_3A1 B2_218_c3_541_3A1
c3_541_6A1 B2_219_c3_541_6A1
c3_541_7A1 B2_220_c3_541_7A1
c3_541_7A2 B2_221_c3_541_7A2
c3_541_7B1 B2_222_c3_541_7B1
c3_541_8A1 B2_223_c3_541_8A1
c3_541_9A1 B2_224_c3_541_9A1
c3_541_9A2 B2_225_c3_541_9A2
c3_541_9B2 B2_226_c3_541_9B2
c3_517_11B2 B2_228_c3_517_11B2
c3_517_1B3 B2_230_c3_517_1B3
c3_517_3B3 B2_231_c3_517_3B3
c3_517_4A3 B2_232_c3_517_4A3
c3_517_4B3 B2_233_c3_517_4B3
c3_515_4A2 B2_234_c3_515_4A2
c3_515_6B2 B2_235_c3_515_6B2
c3_571_12A1 B2_236_c3_571_12A1
c3_571_13A1 B2_237_c3_571_13A1
c3_571_14B2 B2_238_c3_571_14B2
c3_571_1A3 B2_240_c3_571_1A3
c3_571_1B3 B2_241_c3_571_1B3
c3_571_2A2 B2_242_c3_571_2A2
c3_571_2A3 B2_243_c3_571_2A3
c3_571_3B2 B2_244_c3_571_3B2
c3_571_4A1 B2_245_c3_571_4A1
c3_571_6B2 B2_246_c3_571_6B2
c3_571_8A1 B2_247_c3_571_8A1
c3_571_8A2 B2_248_c3_571_8A2
c3_571_8B2 B2_249_c3_571_8B2
c3_571_9A1 B2_250_c3_571_9A1
c3_571_9B2 B2_251_c3_571_9B2
c3_571_9B3 B2_252_c3_571_9B3
c3_580_8B2 B2_254_c3_580_8B2
c3_580_9A2 B2_255_c3_580_9A2
c3_611_11A3 B2_257_c3_611_11A3
c3_611_14A3 B2_258_c3_611_14A3
c3_611_15B3 B2_260_c3_611_15B3
c3_611_16A3 B2_261_c3_611_16A3
c3_611_4B1 B2_262_c3_611_4B1
c3_709_11A1 B2_264_c3_709_11A1
c3_709_16A3 B2_266_c3_709_16A3
c3_709_7B3 B2_267_c3_709_7B3
c3_724_16B2 B2_268_c3_724_16B2
c3_724_2B1 B2_269_c3_724_2B1
c3_724_8A1 B2_270_c3_724_8A1
c3_724_8B1 B2_271_c3_724_8B1
c3_724_8B2 B2_272_c3_724_8B2
c1_2_12A1 B2_273_c1_2_12A1
c1_2_13A2 B2_274_c1_2_13A2
c1_2_1B2 B2_276_c1_2_1B2
c1_2_3A2 B2_277_c1_2_3A2
c1_14_16A1 B2_279_c1_14_16A1
c1_14_4B2 B2_280_c1_14_4B2
c1_51_14A1 B2_285_c1_51_14A1
c1_51_14B3 B2_286_c1_51_14B3
c1_51_15B2 B2_287_c1_51_15B2
c1_51_1A1 B2_288_c1_51_1A1
c1_51_2A2 B2_289_c1_51_2A2
c1_51_2B3 B2_290_c1_51_2B3
c1_51_3B1 B2_291_c1_51_3B1
c1_51_6A3 B2_292_c1_51_6A3
c1_51_7B2 B2_293_c1_51_7B2
c1_59_14B1 B2_294_c1_59_14B1
c1_59_6A2 B2_295_c1_59_6A2
c1_85_14A2 B2_296_c1_85_14A2
c1_85_15A3 B2_297_c1_85_15A3
c1_85_9A3 B2_298_c1_85_9A3
c1_135_7B1 B2_299_c1_135_7B1
c1_137_15B2 B2_301_c1_137_15B2
c1_137_6A2 B2_302_c1_137_6A2
c1_158_16A1 B2_304_c1_158_16A1
c1_158_8A1 B2_305_c1_158_8A1
c1_237_14A3 B2_306_c1_237_14A3
c1_335_10A1 B2_307_c1_335_10A1
c1_335_14B1 B2_308_c1_335_14B1
c1_335_1A1 B2_309_c1_335_1A1
c1_335_1B1 B2_310_c1_335_1B1
c1_335_2B2 B2_311_c1_335_2B2
c1_335_6A1 B2_312_c1_335_6A1
c1_335_7A1 B2_313_c1_335_7A1
c1_438_6A2 B2_314_c1_438_6A2
c1_438_7B3 B2_315_c1_438_7B3
c1_439_11A3 B2_316_c1_439_11A3
c1_439_13A1 B2_317_c1_439_13A1
c1_439_8B2 B2_318_c1_439_8B2
c1_470_5B2 B2_320_c1_470_5B2
c1_515_10B1 B2_322_c1_515_10B1
c1_515_13B1 B2_323_c1_515_13B1
c1_515_3B3 B2_324_c1_515_3B3
c1_515_4A3 B2_325_c1_515_4A3
c1_515_6A1 B2_326_c1_515_6A1
c1_541_5B1 B2_328_c1_541_5B1
c1_541_6A2 B2_329_c1_541_6A2
c1_541_6B2 B2_330_c1_541_6B2
c1_541_8A1 B2_331_c1_541_8A1
c1_541_9A1 B2_332_c1_541_9A1
c1_541_9B1 B2_333_c1_541_9B1
c1_580_2B2 B2_334_c1_580_2B2
c1_611_9A2 B2_335_c1_611_9A2
c1_709_13A3 B2_336_c1_709_13A3
c3_2_14A1 B2_337_c3_2_14A1
c3_2_14B2 B2_338_c3_2_14B2
c3_2_15A1 B2_339_c3_2_15A1
c3_2_16A1 B2_340_c3_2_16A1
c3_2_1B2 B2_341_c3_2_1B2
c3_2_2B1 B2_342_c3_2_2B1
c3_2_5A2 B2_344_c3_2_5A2
c3_2_8A3 B2_345_c3_2_8A3
c3_2_9A2 B2_346_c3_2_9A2
c3_2_9B2 B2_347_c3_2_9B2
c3_14_10B1 B2_349_c3_14_10B1
c3_14_12B1 B2_350_c3_14_12B1
c3_14_12C1 B2_351_c3_14_12C1
c3_14_13B1 B2_352_c3_14_13B1
c3_14_13B2 B2_353_c3_14_13B2
c3_14_15A2 B2_354_c3_14_15A2
c3_14_15B3 B2_355_c3_14_15B3
c3_14_16B3 B2_356_c3_14_16B3
c3_25_8B1 B2_357_c3_25_8B1
c3_59_14A1 B2_361_c3_59_14A1
c3_59_5B1 B2_366_c3_59_5B1
c3_59_7A1 B2_367_c3_59_7A1
c3_59_9A1 B2_369_c3_59_9A1
c3_85_9K1 B2_371_c3_85_9K1
c3_135_16D1 B2_372_c3_135_16D1
c3_135_1B2 B2_373_c3_135_1B2
c3_135_6A2 B2_374_c3_135_6A2
c3_135_6B1 B2_375_c3_135_6B1
c3_137_15A1 B2_377_c3_137_15A1
c3_137_8A3 B2_379_c3_137_8A3
c3_137_9A2 B2_380_c3_137_9A2
c3_158_13B1 B2_382_c3_158_13B1
c3_158_16B2 B2_383_c3_158_16B2
c3_158_2A2 B2_384_c3_158_2A2
c3_237_10B1 B2_387_c3_237_10B1
c3_237_12A2 B2_388_c3_237_12A2
c3_237_13A1 B2_389_c3_237_13A1
c3_237_13B2 B2_390_c3_237_13B2
c3_237_8A1 B2_391_c3_237_8A1
c3_237_8B2 B2_392_c3_237_8B2
c3_237_9A3 B2_393_c3_237_9A3
c3_237_9B1 B2_394_c3_237_9B1
c3_335_10A1 B2_395_c3_335_10A1
c3_335_11A2 B2_396_c3_335_11A2
c3_335_14B1 B2_397_c3_335_14B1
c3_335_2B1 B2_398_c3_335_2B1
c3_335_7B1 B2_400_c3_335_7B1
c3_335_9A3 B2_401_c3_335_9A3
c3_438_10A1 B2_402_c3_438_10A1
c3_438_11A2 B2_403_c3_438_11A2
c3_438_12A2 B2_404_c3_438_12A2
c3_438_3B1 B2_406_c3_438_3B1
c3_438_4B3 B2_407_c3_438_4B3
c3_439_11A1 B2_409_c3_439_11A1
c3_439_12A1 B2_410_c3_439_12A1
c3_439_13A1 B2_411_c3_439_13A1
c3_439_14B3 B2_412_c3_439_14B3
c3_439_15A3 B2_413_c3_439_15A3
c3_439_15B2 B2_414_c3_439_15B2
c3_439_2A1 B2_416_c3_439_2A1
c3_439_6A1 B2_417_c3_439_6A1
c3_470_11A3 B2_418_c3_470_11A3
c3_470_12A2 B2_419_c3_470_12A2
c3_470_13B2 B2_420_c3_470_13B2
c3_470_8A1 B2_421_c3_470_8A1
c3_515_12B2 B2_422_c3_515_12B2
c3_517_12B1 B2_424_c3_517_12B1
c3_517_12H1 B2_425_c3_517_12H1
c3_517_9A3 B2_430_c3_517_9A3
c3_541_10A3 B2_431_c3_541_10A3
c3_541_10B1 B2_432_c3_541_10B1
c3_541_11A1 B2_433_c3_541_11A1
c3_541_14B3 B2_434_c3_541_14B3
c3_541_15A1 B2_435_c3_541_15A1
c3_541_16A1 B2_436_c3_541_16A1
c3_541_1B1 B2_437_c3_541_1B1
c3_541_4A1 B2_438_c3_541_4A1
c3_541_5B1 B2_439_c3_541_5B1
c3_541_9A3 B2_440_c3_541_9A3
c3_571_10A2 B2_441_c3_571_10A2
c3_571_2A1 B2_442_c3_571_2A1
c3_571_2B3 B2_443_c3_571_2B3
c3_571_4B1 B2_444_c3_571_4B1
c3_580_1A2 B2_449_c3_580_1A2
c3_580_2A1 B2_450_c3_580_2A1
c3_580_4B2 B2_452_c3_580_4B2
c3_611_15B1 B2_454_c3_611_15B1
c3_611_5A1 B2_455_c3_611_5A1
c1_119_9B1 SRR10728836
c1_135_11B2 SRR10728831
c1_137_1A3 SRR10728828
c1_14_15B2 SRR10728854
c1_14_2A3 SRR10728853
c1_14_6B2 SRR10728855
c1_158_14B2 SRR10728825
c1_237_11A2 SRR10728823
c1_25_11A3 SRR10728850
c1_25_3A1 SRR10728852
c1_2_14B3 SRR10728856
c1_2_3B2 SRR10728587
c1_2_8A2 SRR10728586
c1_438_13A1 SRR10728818
c1_438_6B1 SRR10728820
c1_438_7B1 SRR10728819
c1_439_1A1 SRR10728817
c1_458_1A3 SRR10728812
c1_458_6A1 SRR10728814
c1_470_7B1 SRR10728808
c1_517_2A1 SRR10728798
c1_517_5A3 SRR10728800
c1_571_14A1 SRR10728796
c1_571_7B2 SRR10728794
c1_571_7B3 SRR10728797
c1_59_16A3 SRR10728775
c1_640_1B3 SRR10728787
c1_85_13A3 SRR10728838
c1_85_2B1 SRR10728840
c1_85_9B2 SRR10728839
c2_119_7B3 SRR10728767
c2_25_13A1 SRR10728770
c2_439_7A2 SRR10728763
c2_470_8A1 SRR10728757
c2_470_8B3 SRR10728755
c2_59_1A2 SRR10728749
c2_640_9A1 SRR10728752
c3_119_10B2 SRR10728720
c3_119_16B2 SRR10728718
c3_119_4A1 SRR10728717
c3_135_12A1 SRR10728714
c3_14_14A2 SRR10728740
c3_158_11B3 SRR10728707
c3_158_1B1 SRR10728708
c3_2_10B1 SRR10728744
c3_2_16B3 SRR10728742
c3_2_4A3 SRR10728745
c3_438_13B1 SRR10728699
c3_438_3A1 SRR10728700
c3_438_6B2 SRR10728703
c3_439_10B1 SRR10728698
c3_439_16A3 SRR10728696
c3_439_4A1 SRR10728695
c3_458_12A2 SRR10728693
c3_458_5A1 SRR10728692
c3_458_9B1 SRR10728694
c3_45_8A1 SRR10728730
c3_470_15A1 SRR10728688
c3_515_11C1 SRR10728686
c3_515_3A2 SRR10728685
c3_517_16B2 SRR10728681
c3_51_14B1 SRR10728727
c3_51_3A3 SRR10728726
c3_51_7A2 SRR10728729
c3_611_11A2 SRR10728677
c3_611_3A1 SRR10728675
c3_640_11A2 SRR10728674
c3_640_13B1 SRR10728673
c3_709_10B2 SRR10728671
c3_724_16B1 SRR10728667
c3_724_2B3 SRR10728666
c3_85_11A1 SRR10728723
c3_85_11B3 SRR10728722
c3_85_13A2 SRR10728721
c3_85_2B2 SRR10728725
